"Metadata_PlateID_Nuclei","Metadata_WellID_Nuclei","Children_Cells_Count_Nuclei","Metadata_Image_Metadata_Compound","Metadata_Image_Metadata_Concentration","probPos","probNeg"
"Week10_40111","E05",962,"temozolomide",2.0,0.0,1.0
"Week10_40111","E06",970,"temozolomide",0.6,0.004119464469618949,0.995880535530381
"Week10_40111","E07",1087,"temozolomide",0.2,0.0,1.0
"Week10_40111","E08",1074,"temozolomide",0.06,0.0,1.0
"Week10_40111","E09",1173,"temozolomide",0.02,0.0,1.0
"Week10_40111","E10",1690,"temozolomide",0.006,0.0,1.0
"Week10_40111","E11",1199,"DMSO",0.0,0.0,1.0
"Week10_40111","F02",268,"taxol",0.3,0.914179104477612,0.08582089552238803
"Week10_40111","F03",1222,"TKK",10.0,8.183306055646482E-4,0.9991816693944353
"Week10_40111","F04",678,"TKK",3.0,0.0,1.0
"Week10_40111","F05",1679,"TKK",1.0,5.955926146515784E-4,0.9994044073853484
"Week10_40111","F06",1022,"TKK",0.3,0.0019569471624266144,0.9980430528375734
"Week10_40111","F07",1154,"TKK",0.1,0.0,1.0
"Week10_40111","F08",498,"TKK",0.03,0.002008032128514056,0.9979919678714859
"Week10_40111","F09",952,"TKK",0.01,0.0,1.0
"Week10_40111","F10",1650,"TKK",0.003,0.0,1.0
"Week10_40111","F11",1790,"DMSO",0.0,0.0,1.0
"Week10_40111","G02",161,"taxol",0.3,0.9813664596273292,0.018633540372670843
"Week10_40111","G03",915,"monastrol",100.0,0.0,1.0
"Week10_40111","G04",1089,"monastrol",30.0,0.0,1.0
"Week10_40111","G05",1495,"monastrol",10.0,0.0,1.0
"Week10_40111","G06",1106,"monastrol",3.0,9.041591320072332E-4,0.9990958408679927
"Week10_40111","G07",1246,"monastrol",1.0,8.025682182985554E-4,0.9991974317817014
"Week10_40111","G08",950,"monastrol",0.3,0.0010526315789473684,0.9989473684210526
"Week10_40111","G09",1422,"monastrol",0.1,0.0,1.0
"Week10_40111","G10",1047,"monastrol",0.03,0.0,1.0
"Week10_40111","G11",1538,"DMSO",0.0,0.0,1.0
"Week10_40115","B02",881,"DMSO",0.0,0.0,1.0
"Week10_40115","B03",282,"Cdk1/2 inhibitor (NU6102)",10.0,0.0035460992907801418,0.9964539007092199
"Week10_40115","B04",655,"Cdk1/2 inhibitor (NU6102)",3.0,0.0,1.0
"Week10_40115","B05",792,"Cdk1/2 inhibitor (NU6102)",1.0,0.0012626262626262627,0.9987373737373737
"Week10_40115","B06",614,"Cdk1/2 inhibitor (NU6102)",0.3,0.0,1.0
"Week10_40115","B07",837,"Cdk1/2 inhibitor (NU6102)",0.1,0.0,1.0
"Week10_40115","B08",1035,"Cdk1/2 inhibitor (NU6102)",0.03,0.0,1.0
"Week10_40115","B09",1105,"Cdk1/2 inhibitor (NU6102)",0.01,0.0,1.0
"Week10_40115","B10",1356,"Cdk1/2 inhibitor (NU6102)",0.003,0.0,1.0
"Week10_40115","B11",302,"taxol",0.3,0.8708609271523179,0.1291390728476821
"Week10_40115","C02",867,"DMSO",0.0,0.0,1.0
"Week10_40115","C03",11,"AZ138",30.0,0.9090909090909091,0.09090909090909094
"Week10_40115","C04",192,"AZ138",10.0,0.78125,0.21875
"Week10_40115","C05",406,"AZ138",3.0,0.3793103448275862,0.6206896551724138
"Week10_40115","C06",386,"AZ138",1.0,0.22279792746113988,0.7772020725388601
"Week10_40115","C07",290,"AZ138",0.3,0.4,0.6
"Week10_40115","C08",317,"AZ138",0.1,0.33753943217665616,0.6624605678233438
"Week10_40115","C09",370,"AZ138",0.03,0.23243243243243245,0.7675675675675675
"Week10_40115","C10",535,"AZ138",0.01,0.08785046728971962,0.9121495327102804
"Week10_40115","C11",243,"taxol",0.3,0.9423868312757202,0.057613168724279795
"Week10_40115","D02",1122,"DMSO",0.0,0.0,1.0
"Week10_40115","D03",413,"AZ-U",30.0,0.08232445520581114,0.9176755447941889
"Week10_40115","D04",614,"AZ-U",10.0,0.016286644951140065,0.9837133550488599
"Week10_40115","D05",718,"AZ-U",3.0,0.023676880222841225,0.9763231197771588
"Week10_40115","D06",909,"AZ-U",1.0,0.0,1.0
"Week10_40115","D07",924,"AZ-U",0.3,0.0,1.0
"Week10_40115","D08",1279,"AZ-U",0.1,0.0,1.0
"Week10_40115","D09",1079,"AZ-U",0.03,0.0,1.0
"Week10_40115","D10",1351,"AZ-U",0.01,0.0,1.0
"Week10_40115","D11",233,"taxol",0.3,0.9656652360515021,0.03433476394849788
"Week10_40115","E02",181,"taxol",0.3,0.9613259668508287,0.03867403314917128
"Week10_40115","E03",936,"temozolomide",20.0,0.0,1.0
"Week10_40115","E04",1006,"temozolomide",6.0,0.0,1.0
"Week10_40115","E05",1004,"temozolomide",2.0,9.9601593625498E-4,0.999003984063745
"Week10_40115","E06",1125,"temozolomide",0.6,0.0,1.0
"Week10_40115","E07",880,"temozolomide",0.2,0.0,1.0
"Week10_40115","E08",1057,"temozolomide",0.06,9.45179584120983E-4,0.999054820415879
"Week10_40115","E09",1458,"temozolomide",0.02,0.0,1.0
"Week10_40115","E10",1185,"temozolomide",0.006,0.0,1.0
"Week10_40115","E11",903,"DMSO",0.0,0.0,1.0
"Week10_40115","F02",198,"taxol",0.3,0.9797979797979798,0.02020202020202022
"Week10_40115","F03",576,"TKK",10.0,0.0,1.0
"Week10_40115","F04",698,"TKK",3.0,0.0,1.0
"Week10_40115","F05",664,"TKK",1.0,0.0,1.0
"Week10_40115","F06",961,"TKK",0.3,0.0,1.0
"Week10_40115","F07",1080,"TKK",0.1,0.0,1.0
"Week10_40115","F08",1142,"TKK",0.03,0.0,1.0
"Week10_40115","F09",1315,"TKK",0.01,0.0,1.0
"Week10_40115","F10",1261,"TKK",0.003,0.0,1.0
"Week10_40115","F11",1041,"DMSO",0.0,0.0,1.0
"Week10_40115","G02",138,"taxol",0.3,1.0,0.0
"Week10_40115","G03",643,"monastrol",100.0,0.0015552099533437014,0.9984447900466563
"Week10_40115","G04",986,"monastrol",30.0,0.0,1.0
"Week10_40115","G05",1062,"monastrol",10.0,9.416195856873823E-4,0.9990583804143126
"Week10_40115","G06",1049,"monastrol",3.0,0.0,1.0
"Week10_40115","G07",890,"monastrol",1.0,0.002244668911335578,0.9977553310886644
"Week10_40115","G08",843,"monastrol",0.3,0.0011862396204033216,0.9988137603795967
"Week10_40115","G09",1107,"monastrol",0.1,0.0,1.0
"Week10_40115","G10",1000,"monastrol",0.03,0.0,1.0
"Week10_40115","G11",1000,"DMSO",0.0,0.0,1.0
"Week10_40119","B02",1021,"DMSO",0.0,0.0,1.0
"Week10_40119","B03",361,"Cdk1/2 inhibitor (NU6102)",10.0,0.002770083102493075,0.997229916897507
"Week10_40119","B04",568,"Cdk1/2 inhibitor (NU6102)",3.0,0.0017605633802816902,0.9982394366197183
"Week10_40119","B05",419,"Cdk1/2 inhibitor (NU6102)",1.0,0.00954653937947494,0.9904534606205251
"Week10_40119","B06",527,"Cdk1/2 inhibitor (NU6102)",0.3,0.0,1.0
"Week10_40119","B07",1103,"Cdk1/2 inhibitor (NU6102)",0.1,9.057971014492754E-4,0.9990942028985508
"Week10_40119","B08",868,"Cdk1/2 inhibitor (NU6102)",0.03,0.001152073732718894,0.9988479262672811
"Week10_40119","B09",1209,"Cdk1/2 inhibitor (NU6102)",0.01,0.0016542597187758478,0.9983457402812241
"Week10_40119","B10",1081,"Cdk1/2 inhibitor (NU6102)",0.003,0.0,1.0
"Week10_40119","B11",277,"taxol",0.3,0.9819494584837545,0.018050541516245522
"Week10_40119","C02",1039,"DMSO",0.0,0.0,1.0
"Week10_40119","C03",11,"AZ138",30.0,0.9090909090909091,0.09090909090909094
"Week10_40119","C04",149,"AZ138",10.0,0.8120805369127517,0.18791946308724827
"Week10_40119","C05",341,"AZ138",3.0,0.6363636363636364,0.36363636363636365
"Week10_40119","C06",183,"AZ138",1.0,0.7049180327868853,0.29508196721311475
"Week10_40119","C07",453,"AZ138",0.3,0.4326710816777042,0.5673289183222958
"Week10_40119","C08",298,"AZ138",0.1,0.587248322147651,0.412751677852349
"Week10_40119","C09",343,"AZ138",0.03,0.4956268221574344,0.5043731778425655
"Week10_40119","C10",4,"AZ138",0.01,0.5,0.5
"Week10_40119","C11",265,"taxol",0.3,0.9735849056603774,0.026415094339622636
"Week10_40119","D02",1104,"DMSO",0.0,0.0,1.0
"Week10_40119","D03",175,"AZ-U",30.0,0.32,0.6799999999999999
"Week10_40119","D04",569,"AZ-U",10.0,0.026362038664323375,0.9736379613356766
"Week10_40119","D05",468,"AZ-U",3.0,0.09829059829059829,0.9017094017094017
"Week10_40119","D06",611,"AZ-U",1.0,0.03436988543371522,0.9656301145662848
"Week10_40119","D07",908,"AZ-U",0.3,0.0,1.0
"Week10_40119","D08",1303,"AZ-U",0.1,0.0,1.0
"Week10_40119","D09",961,"AZ-U",0.03,0.002081165452653486,0.9979188345473465
"Week10_40119","D10",972,"AZ-U",0.01,0.0,1.0
"Week10_40119","D11",227,"taxol",0.3,0.9955947136563876,0.004405286343612369
"Week10_40119","E02",139,"taxol",0.3,0.9640287769784173,0.03597122302158273
"Week10_40119","E03",713,"temozolomide",20.0,0.001402524544179523,0.9985974754558204
"Week10_40119","E04",859,"temozolomide",6.0,0.0011641443538998836,0.9988358556461001
"Week10_40119","E05",578,"temozolomide",2.0,0.0017301038062283738,0.9982698961937716
"Week10_40119","E06",1205,"temozolomide",0.6,0.0,1.0
"Week10_40119","E07",809,"temozolomide",0.2,0.0,1.0
"Week10_40119","E08",738,"temozolomide",0.06,0.0,1.0
"Week10_40119","E09",989,"temozolomide",0.02,0.0,1.0
"Week10_40119","E10",1148,"temozolomide",0.006,0.0,1.0
"Week10_40119","E11",958,"DMSO",0.0,0.0,1.0
"Week10_40119","F02",74,"taxol",0.3,0.9864864864864865,0.013513513513513487
"Week10_40119","F03",1423,"TKK",10.0,0.0,1.0
"Week10_40119","F04",717,"TKK",3.0,0.0,1.0
"Week10_40119","F05",807,"TKK",1.0,0.0012391573729863693,0.9987608426270136
"Week10_40119","F06",927,"TKK",0.3,0.0010787486515641855,0.9989212513484358
"Week10_40119","F07",1275,"TKK",0.1,0.0,1.0
"Week10_40119","F08",933,"TKK",0.03,0.0,1.0
"Week10_40119","F10",1031,"TKK",0.003,0.0,1.0
"Week10_40119","G02",91,"taxol",0.3,1.0,0.0
"Week10_40119","G03",570,"monastrol",100.0,0.0017543859649122807,0.9982456140350877
"Week10_40119","G04",848,"monastrol",30.0,0.0,1.0
"Week10_40119","G05",990,"monastrol",10.0,0.00101010101010101,0.998989898989899
"Week10_40119","G06",949,"monastrol",3.0,0.0,1.0
"Week10_40119","G07",805,"monastrol",1.0,0.0,1.0
"Week10_40119","G08",891,"monastrol",0.3,0.001122334455667789,0.9988776655443322
"Week10_40119","G09",1204,"monastrol",0.1,0.0016611295681063123,0.9983388704318937
"Week10_40119","G10",948,"monastrol",0.03,0.002109704641350211,0.9978902953586498
"Week10_40119","G11",1259,"DMSO",0.0,0.0,1.0
"Week1_22123","B02",842,"DMSO",0.0,0.0011876484560570072,0.998812351543943
"Week1_22123","B03",240,"cytochalasin B",30.0,0.875,0.125
"Week1_22123","B04",351,"cytochalasin B",10.0,0.43304843304843305,0.566951566951567
"Week1_22123","B05",296,"cytochalasin B",3.0,0.7128378378378378,0.28716216216216217
"Week1_22123","B06",825,"cytochalasin B",1.0,0.03515151515151515,0.9648484848484848
"Week1_22123","B07",831,"cytochalasin B",0.3,0.019230769230769232,0.9807692307692307
"Week1_22123","B08",756,"cytochalasin B",0.1,0.005291005291005291,0.9947089947089947
"Week1_22123","B09",764,"cytochalasin B",0.03,0.00261437908496732,0.9973856209150327
"Week1_22123","B10",616,"cytochalasin B",0.01,0.01461038961038961,0.9853896103896104
"Week1_22123","B11",187,"taxol",0.3,0.9893048128342246,0.010695187165775444
"Week1_22123","C02",834,"DMSO",0.0,0.002398081534772182,0.9976019184652278
"Week1_22123","C03",369,"aphidicolin",10.0,0.056910569105691054,0.943089430894309
"Week1_22123","C04",411,"aphidicolin",3.0,0.03640776699029126,0.9635922330097088
"Week1_22123","C05",428,"aphidicolin",1.0,0.0397196261682243,0.9602803738317757
"Week1_22123","C06",559,"aphidicolin",0.3,0.02142857142857143,0.9785714285714285
"Week1_22123","C07",617,"aphidicolin",0.1,0.02106969205834684,0.9789303079416531
"Week1_22123","C08",706,"aphidicolin",0.03,0.0169971671388102,0.9830028328611898
"Week1_22123","C09",703,"aphidicolin",0.01,0.015647226173541962,0.984352773826458
"Week1_22123","C10",641,"aphidicolin",0.003,0.0062402496099844,0.9937597503900156
"Week1_22123","C11",154,"taxol",0.3,0.9935064935064936,0.00649350649350644
"Week1_22123","D02",624,"DMSO",0.0,0.003205128205128205,0.9967948717948718
"Week1_22123","D03",199,"taxol",3.0,1.0,0.0
"Week1_22123","D04",176,"taxol",1.0,1.0,0.0
"Week1_22123","D05",142,"taxol",0.3,0.9929577464788732,0.007042253521126751
"Week1_22123","D06",151,"taxol",0.1,0.9867549668874173,0.013245033112582738
"Week1_22123","D07",167,"taxol",0.03,1.0,0.0
"Week1_22123","D08",113,"taxol",0.01,0.9777777777777777,0.022222222222222254
"Week1_22123","D09",246,"taxol",0.003,0.9878048780487805,0.012195121951219523
"Week1_22123","D10",490,"taxol",0.001,0.746938775510204,0.25306122448979596
"Week1_22123","D11",184,"taxol",0.3,1.0,0.0
"Week1_22123","E02",208,"taxol",0.3,0.9951923076923077,0.004807692307692291
"Week1_22123","E03",203,"nocodazole",3.0,0.2561576354679803,0.7438423645320197
"Week1_22123","E04",179,"nocodazole",1.0,0.3463687150837989,0.6536312849162011
"Week1_22123","E05",184,"nocodazole",0.3,0.4076086956521739,0.5923913043478262
"Week1_22123","E06",220,"nocodazole",0.1,0.41818181818181815,0.5818181818181818
"Week1_22123","E07",246,"nocodazole",0.03,0.5772357723577236,0.4227642276422764
"Week1_22123","E08",549,"nocodazole",0.01,0.1111111111111111,0.8888888888888888
"Week1_22123","E09",579,"nocodazole",0.003,0.006896551724137931,0.993103448275862
"Week1_22123","E10",754,"nocodazole",0.001,0.007957559681697613,0.9920424403183024
"Week1_22123","E11",669,"DMSO",0.0,0.0029850746268656717,0.9970149253731343
"Week1_22123","F02",149,"taxol",0.3,1.0,0.0
"Week1_22123","F03",544,"AZ-H",30.0,0.007352941176470588,0.9926470588235294
"Week1_22123","F04",566,"AZ-H",10.0,0.007067137809187279,0.9929328621908127
"Week1_22123","F05",608,"AZ-H",3.0,0.006578947368421052,0.993421052631579
"Week1_22123","F06",583,"AZ-H",1.0,0.010291595197255575,0.9897084048027445
"Week1_22123","F07",694,"AZ-H",0.3,0.001440922190201729,0.9985590778097982
"Week1_22123","F08",574,"AZ-H",0.1,0.01916376306620209,0.980836236933798
"Week1_22123","F09",697,"AZ-H",0.03,0.00860832137733142,0.9913916786226685
"Week1_22123","F10",599,"AZ-H",0.01,0.01335559265442404,0.986644407345576
"Week1_22123","F11",774,"DMSO",0.0,0.002583979328165375,0.9974160206718347
"Week1_22123","G02",251,"taxol",0.3,1.0,0.0
"Week1_22123","G03",374,"AZ-A",30.0,0.013368983957219251,0.9866310160427807
"Week1_22123","G04",266,"AZ-A",10.0,0.03007518796992481,0.9699248120300752
"Week1_22123","G05",305,"AZ-A",3.0,0.03278688524590164,0.9672131147540983
"Week1_22123","G06",312,"AZ-A",1.0,0.028846153846153848,0.9711538461538461
"Week1_22123","G07",423,"AZ-A",0.3,0.0070921985815602835,0.9929078014184397
"Week1_22123","G08",359,"AZ-A",0.1,0.016713091922005572,0.9832869080779945
"Week1_22123","G09",349,"AZ-A",0.03,0.017191977077363897,0.9828080229226361
"Week1_22123","G10",346,"AZ-A",0.01,0.02023121387283237,0.9797687861271677
"Week1_22123","G11",831,"DMSO",0.0,0.0012033694344163659,0.9987966305655837
"Week1_22141","B02",932,"DMSO",0.0,0.001072961373390558,0.9989270386266095
"Week1_22141","B03",289,"cytochalasin B",30.0,0.8131487889273357,0.18685121107266434
"Week1_22141","B04",438,"cytochalasin B",10.0,0.3219178082191781,0.678082191780822
"Week1_22141","B05",278,"cytochalasin B",3.0,0.7338129496402878,0.26618705035971224
"Week1_22141","B06",665,"cytochalasin B",1.0,0.03308270676691729,0.9669172932330827
"Week1_22141","B07",712,"cytochalasin B",0.3,0.019662921348314606,0.9803370786516854
"Week1_22141","B08",688,"cytochalasin B",0.1,0.014534883720930232,0.9854651162790697
"Week1_22141","B09",736,"cytochalasin B",0.03,0.008152173913043478,0.9918478260869565
"Week1_22141","B10",763,"cytochalasin B",0.01,0.010484927916120577,0.9895150720838795
"Week1_22141","B11",202,"taxol",0.3,0.9900990099009901,0.00990099009900991
"Week1_22141","C02",851,"DMSO",0.0,0.0011750881316098707,0.9988249118683902
"Week1_22141","C03",431,"aphidicolin",10.0,0.029885057471264367,0.9701149425287356
"Week1_22141","C04",483,"aphidicolin",3.0,0.01652892561983471,0.9834710743801653
"Week1_22141","C05",540,"aphidicolin",1.0,0.007407407407407408,0.9925925925925926
"Week1_22141","C06",673,"aphidicolin",0.3,0.014814814814814815,0.9851851851851852
"Week1_22141","C07",710,"aphidicolin",0.1,0.01828410689170183,0.9817158931082982
"Week1_22141","C08",741,"aphidicolin",0.03,0.009446693657219974,0.99055330634278
"Week1_22141","C09",656,"aphidicolin",0.01,0.007621951219512195,0.9923780487804879
"Week1_22141","C10",814,"aphidicolin",0.003,0.0012254901960784314,0.9987745098039216
"Week1_22141","C11",228,"taxol",0.3,0.9912280701754386,0.00877192982456143
"Week1_22141","D02",776,"DMSO",0.0,0.002574002574002574,0.9974259974259975
"Week1_22141","D03",215,"taxol",3.0,0.9953488372093023,0.0046511627906976605
"Week1_22141","D04",202,"taxol",1.0,1.0,0.0
"Week1_22141","D05",182,"taxol",0.3,1.0,0.0
"Week1_22141","D06",203,"taxol",0.1,0.9852216748768473,0.014778325123152691
"Week1_22141","D07",178,"taxol",0.03,0.9887640449438202,0.011235955056179803
"Week1_22141","D08",185,"taxol",0.01,0.9945945945945946,0.00540540540540535
"Week1_22141","D09",189,"taxol",0.003,1.0,0.0
"Week1_22141","D10",504,"taxol",0.001,0.6607142857142857,0.3392857142857143
"Week1_22141","D11",173,"taxol",0.3,1.0,0.0
"Week1_22141","E02",202,"taxol",0.3,1.0,0.0
"Week1_22141","E03",186,"nocodazole",3.0,0.3172043010752688,0.6827956989247312
"Week1_22141","E04",188,"nocodazole",1.0,0.4095744680851064,0.5904255319148937
"Week1_22141","E05",190,"nocodazole",0.3,0.45263157894736844,0.5473684210526315
"Week1_22141","E06",245,"nocodazole",0.1,0.5346938775510204,0.4653061224489796
"Week1_22141","E07",265,"nocodazole",0.03,0.7094339622641509,0.2905660377358491
"Week1_22141","E08",747,"nocodazole",0.01,0.029451137884872823,0.9705488621151271
"Week1_22141","E09",708,"nocodazole",0.003,0.007062146892655367,0.9929378531073446
"Week1_22141","E10",412,"nocodazole",0.001,0.0703883495145631,0.9296116504854369
"Week1_22141","E11",680,"DMSO",0.0,0.0,1.0
"Week1_22141","F02",201,"taxol",0.3,0.9950248756218906,0.00497512437810943
"Week1_22141","F03",604,"AZ-H",30.0,0.011570247933884297,0.9884297520661157
"Week1_22141","F04",605,"AZ-H",10.0,0.01652892561983471,0.9834710743801653
"Week1_22141","F05",735,"AZ-H",3.0,0.004081632653061225,0.9959183673469387
"Week1_22141","F06",692,"AZ-H",1.0,0.004335260115606936,0.9956647398843931
"Week1_22141","F07",743,"AZ-H",0.3,0.008075370121130552,0.9919246298788694
"Week1_22141","F08",793,"AZ-H",0.1,0.006297229219143577,0.9937027707808564
"Week1_22141","F09",889,"AZ-H",0.03,0.007874015748031496,0.9921259842519685
"Week1_22141","F10",643,"AZ-H",0.01,0.00933125972006221,0.9906687402799378
"Week1_22141","F11",721,"DMSO",0.0,0.0,1.0
"Week1_22141","G02",194,"taxol",0.3,1.0,0.0
"Week1_22141","G03",336,"AZ-A",30.0,0.023809523809523808,0.9761904761904762
"Week1_22141","G04",352,"AZ-A",10.0,0.031161473087818695,0.9688385269121813
"Week1_22141","G05",439,"AZ-A",3.0,0.01366742596810934,0.9863325740318907
"Week1_22141","G06",382,"AZ-A",1.0,0.028720626631853787,0.9712793733681462
"Week1_22141","G07",417,"AZ-A",0.3,0.02631578947368421,0.9736842105263158
"Week1_22141","G08",338,"AZ-A",0.1,0.01764705882352941,0.9823529411764705
"Week1_22141","G09",433,"AZ-A",0.03,0.01152073732718894,0.988479262672811
"Week1_22141","G10",437,"AZ-A",0.01,0.0136986301369863,0.9863013698630136
"Week1_22141","G11",713,"DMSO",0.0,0.005610098176718092,0.9943899018232819
"Week1_22161","B02",840,"DMSO",0.0,0.002380952380952381,0.9976190476190476
"Week1_22161","B03",253,"cytochalasin B",30.0,0.8221343873517787,0.17786561264822132
"Week1_22161","B04",368,"cytochalasin B",10.0,0.3342391304347826,0.6657608695652174
"Week1_22161","B05",219,"cytochalasin B",3.0,0.6575342465753424,0.34246575342465757
"Week1_22161","B06",575,"cytochalasin B",1.0,0.04521739130434783,0.9547826086956521
"Week1_22161","B07",533,"cytochalasin B",0.3,0.0225140712945591,0.9774859287054409
"Week1_22161","B08",868,"cytochalasin B",0.1,0.0022988505747126436,0.9977011494252873
"Week1_22161","B09",947,"cytochalasin B",0.03,0.0,1.0
"Week1_22161","B10",635,"cytochalasin B",0.01,0.02047244094488189,0.9795275590551181
"Week1_22161","B11",196,"taxol",0.3,1.0,0.0
"Week1_22161","C02",745,"DMSO",0.0,0.0013422818791946308,0.9986577181208054
"Week1_22161","C03",479,"aphidicolin",10.0,0.008316008316008316,0.9916839916839917
"Week1_22161","C04",437,"aphidicolin",3.0,0.02517162471395881,0.9748283752860412
"Week1_22161","C05",386,"aphidicolin",1.0,0.07253886010362694,0.927461139896373
"Week1_22161","C06",707,"aphidicolin",0.3,0.0,1.0
"Week1_22161","C07",515,"aphidicolin",0.1,0.05242718446601942,0.9475728155339805
"Week1_22161","C08",676,"aphidicolin",0.03,0.011834319526627219,0.9881656804733728
"Week1_22161","C09",734,"aphidicolin",0.01,0.006802721088435374,0.9931972789115646
"Week1_22161","C10",650,"aphidicolin",0.003,0.012307692307692308,0.9876923076923076
"Week1_22161","C11",131,"taxol",0.3,1.0,0.0
"Week1_22161","D02",726,"DMSO",0.0,0.0,1.0
"Week1_22161","D03",185,"taxol",3.0,0.9945945945945946,0.00540540540540535
"Week1_22161","D04",156,"taxol",1.0,1.0,0.0
"Week1_22161","D05",192,"taxol",0.3,0.9947916666666666,0.00520833333333337
"Week1_22161","D06",187,"taxol",0.1,1.0,0.0
"Week1_22161","D07",169,"taxol",0.03,1.0,0.0
"Week1_22161","D08",200,"taxol",0.01,1.0,0.0
"Week1_22161","D09",211,"taxol",0.003,0.995260663507109,0.004739336492891044
"Week1_22161","D10",519,"taxol",0.001,0.6377649325626205,0.36223506743737954
"Week1_22161","D11",150,"taxol",0.3,0.9933333333333333,0.00666666666666671
"Week1_22161","E02",227,"taxol",0.3,1.0,0.0
"Week1_22161","E03",181,"nocodazole",3.0,0.3370165745856354,0.6629834254143646
"Week1_22161","E04",199,"nocodazole",1.0,0.3316582914572864,0.6683417085427136
"Week1_22161","E05",205,"nocodazole",0.3,0.33170731707317075,0.6682926829268292
"Week1_22161","E06",241,"nocodazole",0.1,0.5311203319502075,0.46887966804979253
"Week1_22161","E07",255,"nocodazole",0.03,0.8,0.19999999999999996
"Week1_22161","E08",592,"nocodazole",0.01,0.13659359190556492,0.863406408094435
"Week1_22161","E09",643,"nocodazole",0.003,0.02332814930015552,0.9766718506998445
"Week1_22161","E10",556,"nocodazole",0.001,0.025179856115107913,0.9748201438848921
"Week1_22161","E11",526,"DMSO",0.0,0.005703422053231939,0.9942965779467681
"Week1_22161","F02",209,"taxol",0.3,1.0,0.0
"Week1_22161","F03",663,"AZ-H",30.0,0.007530120481927711,0.9924698795180723
"Week1_22161","F04",606,"AZ-H",10.0,0.0016501650165016502,0.9983498349834984
"Week1_22161","F05",642,"AZ-H",3.0,0.010903426791277258,0.9890965732087228
"Week1_22161","F06",740,"AZ-H",1.0,0.005405405405405406,0.9945945945945946
"Week1_22161","F07",694,"AZ-H",0.3,0.007204610951008645,0.9927953890489913
"Week1_22161","F08",667,"AZ-H",0.1,0.0014992503748125937,0.9985007496251874
"Week1_22161","F09",860,"AZ-H",0.03,0.0069605568445475635,0.9930394431554525
"Week1_22161","F10",562,"AZ-H",0.01,0.028469750889679714,0.9715302491103203
"Week1_22161","F11",564,"DMSO",0.0,0.0035460992907801418,0.9964539007092199
"Week1_22161","G02",196,"taxol",0.3,1.0,0.0
"Week1_22161","G03",397,"AZ-A",30.0,0.030226700251889168,0.9697732997481109
"Week1_22161","G04",379,"AZ-A",10.0,0.026385224274406333,0.9736147757255936
"Week1_22161","G05",405,"AZ-A",3.0,0.01728395061728395,0.9827160493827161
